,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
800,The date of birth of Amalie of Zweibrücken-Birkenfeld is,The date of birth of the mother of Princess Maria Augusta of Saxony is,Amalie of Zweibrücken-Birkenfeld,the mother of Princess Maria Augusta of Saxony,"['Princess Maria Augusta of Saxony', 'mother', 'Amalie of Zweibrücken-Birkenfeld']","['Amalie of Zweibrücken-Birkenfeld', 'date of birth', '10 May 1752']",10 May 1752
801,The employer of Sut Jhally is,The employer of the director of Reel Bad Arabs is,Sut Jhally,the director of Reel Bad Arabs,"['Reel Bad Arabs', 'director', 'Sut Jhally']","['Sut Jhally', 'employer', 'University of Massachusetts Amherst']",University of Massachusetts Amherst
802,The country of citizenship of Jean II de Brosse is,The country of citizenship of the father of Claudine de Brosse is,Jean II de Brosse,the father of Claudine de Brosse,"['Claudine de Brosse', 'father', 'Jean II de Brosse']","['Jean II de Brosse', 'country of citizenship', 'France']",France
803,The place of birth of Beth Gylys is,The place of birth of the spouse of Thomas Forsthoefel is,Beth Gylys,the spouse of Thomas Forsthoefel,"['Thomas Forsthoefel', 'spouse', 'Beth Gylys']","['Beth Gylys', 'place of birth', 'Passaic']",Passaic
804,The place of death of Luciano Salce is,The place of death of the director of Il... Belpaese is,Luciano Salce,the director of Il... Belpaese,"['Il... Belpaese', 'director', 'Luciano Salce']","['Luciano Salce', 'place of death', 'Rome']",Rome
805,The child of Brij is,The child of the director of Kathputli is,Brij,the director of Kathputli,"['Kathputli', 'director', 'Brij']","['Brij', 'child', 'Kamal Sadanah']",Kamal Sadanah
806,"The date of death of Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne is","The date of death of the father of Thomas George Lyon-Bowes, Lord Glamis is","Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne","the father of Thomas George Lyon-Bowes, Lord Glamis","['Thomas George Lyon-Bowes, Lord Glamis', 'father', 'Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne']","['Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne', 'date of death', '27 August 1846']",27 August 1846
807,"The country of citizenship of Henry Cavendish, 2nd Duke of Newcastle is","The country of citizenship of the father of Henry Cavendish, Earl of Ogle is","Henry Cavendish, 2nd Duke of Newcastle","the father of Henry Cavendish, Earl of Ogle","['Henry Cavendish, Earl of Ogle', 'father', 'Henry Cavendish, 2nd Duke of Newcastle']","['Henry Cavendish, 2nd Duke of Newcastle', 'country of citizenship', 'English']",English
808,"The place of birth of George Wyndham, 3rd Earl of Egremont is",The place of birth of the spouse of Elizabeth Ilive is,"George Wyndham, 3rd Earl of Egremont",the spouse of Elizabeth Ilive,"['Elizabeth Ilive', 'spouse', 'George Wyndham, 3rd Earl of Egremont']","['George Wyndham, 3rd Earl of Egremont', 'place of birth', 'Petworth House']",Petworth House
809,The country of citizenship of Dan Ireland is,The country of citizenship of the director of The Whole Wide World is,Dan Ireland,the director of The Whole Wide World,"['The Whole Wide World', 'director', 'Dan Ireland']","['Dan Ireland', 'country of citizenship', 'Canadian']",Canadian
810,The place of burial of Maria Anna of Bavaria is,The place of burial of the mother of Eleanor of Austria is,Maria Anna of Bavaria,the mother of Eleanor of Austria,"['Eleanor of Austria', 'mother', 'Maria Anna of Bavaria']","['Maria Anna of Bavaria', 'place of burial', 'Graz']",Graz
811,The place of birth of Ayumi Hamasaki is,The place of birth of the performer of Who... is,Ayumi Hamasaki,the performer of Who...,"['Who...', 'performer', 'Ayumi Hamasaki']","['Ayumi Hamasaki', 'place of birth', 'Fukuoka']",Fukuoka
812,The place of death of Nefertiti is,The place of death of the mother of Meketaten is,Nefertiti,the mother of Meketaten,"['Meketaten', 'mother', 'Nefertiti']","['Nefertiti', 'place of death', 'Amarna']",Amarna
813,The employer of Michael Roemer is,The employer of the director of Nothing But a Man is,Michael Roemer,the director of Nothing But a Man,"['Nothing But a Man', 'director', 'Michael Roemer']","['Michael Roemer', 'employer', 'Yale']",Yale
814,The place of birth of Jacky Cheung is,The place of birth of the performer of Everyday Is Christmas is,Jacky Cheung,the performer of Everyday Is Christmas,"['Everyday Is Christmas', 'performer', 'Jacky Cheung']","['Jacky Cheung', 'place of birth', 'Hong Kong']",Hong Kong
815,The employer of Vladimir Gardin is,The employer of the director of Sickle and Hammer is,Vladimir Gardin,the director of Sickle and Hammer,"['Sickle and Hammer', 'director', 'Vladimir Gardin']","['Vladimir Gardin', 'employer', 'VGIK']",VGIK
816,The country of citizenship of Ælfthryth is,The country of citizenship of the spouse of Æthelwald (died 962) was ealdorman of East Anglia is,Ælfthryth,the spouse of Æthelwald (died 962) was ealdorman of East Anglia,"['Æthelwald (died 962) was ealdorman of East Anglia', 'spouse', 'Ælfthryth']","['Ælfthryth', 'country of citizenship', 'English']",English
817,The place of birth of Henry Thrale is,"The place of birth of the father of Hester Maria Elphinstone, Viscountess Keith is",Henry Thrale,"the father of Hester Maria Elphinstone, Viscountess Keith","['Hester Maria Elphinstone, Viscountess Keith', 'father', 'Henry Thrale']","['Henry Thrale', 'place of birth', 'Southwark']",Southwark
818,The place of birth of Princess Maria Immaculata of Bourbon-Two Sicilies is,The place of birth of the mother of Archduchess Maria Theresa of Austria is,Princess Maria Immaculata of Bourbon-Two Sicilies,the mother of Archduchess Maria Theresa of Austria,"['Archduchess Maria Theresa of Austria', 'mother', 'Princess Maria Immaculata of Bourbon-Two Sicilies']","['Princess Maria Immaculata of Bourbon-Two Sicilies', 'place of birth', 'Naples']",Naples
819,Harry Altham was educated at,The father of Richard James Livingstone Altham was educated at,Harry Altham,the father of Richard James Livingstone Altham,"['Richard James Livingstone Altham', 'father', 'Harry Altham']","['Harry Altham', 'educated at', 'Repton School']",Repton School
820,The place of birth of José Luis Perales is,The place of birth of the performer of ¿Y cómo es él? is,José Luis Perales,the performer of ¿Y cómo es él?,"['¿Y cómo es él?', 'performer', 'José Luis Perales']","['José Luis Perales', 'place of birth', 'Castejón']",Castejón
821,"The date of death of Moubray St John, 19th Baron St John of Bletso is","The date of death of the father of John St John, 20th Baron St John of Bletso is","Moubray St John, 19th Baron St John of Bletso","the father of John St John, 20th Baron St John of Bletso","['John St John, 20th Baron St John of Bletso', 'father', 'Moubray St John']","['Moubray St John, 19th Baron St John of Bletso', 'date of death', '28 October 1934']",28 October 1934
822,The date of death of Publius Aelius Hadrianus Marullinus is,The date of death of the father of Publius Aelius Hadrianus Afer is,Publius Aelius Hadrianus Marullinus,the father of Publius Aelius Hadrianus Afer,"['Publius Aelius Hadrianus Afer', 'father', 'Publius Aelius Hadrianus Marullinus']","['Publius Aelius Hadrianus Marullinus', 'date of death', '91']",91
823,The country of citizenship of Bretaigne Windust is,The country of citizenship of the director of Perfect Strangers is,Bretaigne Windust,the director of Perfect Strangers,"['Perfect Strangers', 'director', 'Bretaigne Windust']","['Bretaigne Windust', 'country of citizenship', 'French']",French
824,The place of death of Nero Claudius Drusus is,The place of death of the father of Livilla is,Nero Claudius Drusus,the father of Livilla,"['Livilla', 'father', 'Nero Claudius Drusus']","['Nero Claudius Drusus', 'place of death', 'Germania']",Germania
825,The country of citizenship of Petru Popescu is,The country of citizenship of the director of Death of an Angel is,Petru Popescu,the director of Death of an Angel,"['Death of an Angel', 'director', 'Petru Popescu']","['Petru Popescu', 'country of citizenship', 'American']",American
826,The place of birth of Robert Kerr is,"The place of birth of the spouse of Anne Stanley, Countess of Ancram is",Robert Kerr,"the spouse of Anne Stanley, Countess of Ancram","['Anne Stanley, Countess of Ancram', 'spouse', 'Robert Kerr']","['Robert Kerr', 'place of birth', 'Scottish']",Scottish
827,"The country of citizenship of Jean, Duke of Guise is",The country of citizenship of the father of Princess Anne of Orléans is,"Jean, Duke of Guise",the father of Princess Anne of Orléans,"['Princess Anne of Orléans', 'father', 'Jean, Duke of Guise']","['Jean, Duke of Guise', 'country of citizenship', 'French']",French
828,The date of birth of Olivier Baroux is,The date of birth of the director of Les Tuche 2 is,Olivier Baroux,the director of Les Tuche 2,"['Les Tuche 2', 'director', 'Olivier Baroux']","['Olivier Baroux', 'date of birth', '5 January 1964']",5 January 1964
829,Zeki Müren received the,The composer of The Broken Disk received the,Zeki Müren,the composer of The Broken Disk,"['The Broken Disk', 'composer', 'Zeki Müren']","['Zeki Müren', 'award received', 'State Artist']",State Artist
830,The place of birth of Wang Yin is,The place of birth of the director of The Rain of Sorrow is,Wang Yin,the director of The Rain of Sorrow,"['The Rain of Sorrow', 'director', 'Wang Yin']","['Wang Yin', 'place of birth', 'Shanghai']",Shanghai
831,The place of birth of John Francis Dillon is,The place of birth of the director of Too Much Money is,John Francis Dillon,the director of Too Much Money,"['Too Much Money', 'director', 'John Francis Dillon']","['John Francis Dillon', 'place of birth', 'New York']",New York
832,The place of death of Otto III is,The place of death of the spouse of Beatrice of Bohemia is,Otto III,the spouse of Beatrice of Bohemia,"['Beatrice of Bohemia', 'spouse', 'Otto III']","['Otto III', 'place of death', 'Brandenburg an der Havel']",Brandenburg an der Havel
833,"The place of death of Jacob, Margrave of Baden-Baden is","The place of death of the father of Charles I, Margrave of Baden-Baden is","Jacob, Margrave of Baden-Baden","the father of Charles I, Margrave of Baden-Baden","['Charles I, Margrave of Baden-Baden', 'father', 'Jacob, Margrave of Baden-Baden']","['Jacob, Margrave of Baden-Baden', 'place of death', 'Mühlburg']",Mühlburg
834,The place of birth of Hannibal Hamlin is,The place of birth of the father of Charles Hamlin is,Hannibal Hamlin,the father of Charles Hamlin,"['Charles Hamlin', 'father', 'Hannibal Hamlin']","['Hannibal Hamlin', 'place of birth', 'Paris']",Paris
835,The place of birth of Bogislaw XIII is,The place of birth of the father of Clara Maria of Pomerania is,Bogislaw XIII,the father of Clara Maria of Pomerania,"['Clara Maria of Pomerania', 'father', 'Bogislaw XIII']","['Bogislaw XIII', 'place of birth', 'Wolgast']",Wolgast
836,The place of birth of D'Angelo is,The place of birth of the performer of Really Love is,D'Angelo,the performer of Really Love,"['Really Love', 'performer', ""D'Angelo""]","[""D'Angelo"", 'place of birth', 'Richmond']",Richmond
837,The place of death of Nefertari is,The place of death of the mother of Amun-her-khepeshef is,Nefertari,the mother of Amun-her-khepeshef,"['Amun-her-khepeshef', 'mother', 'Nefertari']","['Nefertari', 'place of death', 'Valley of the Queens']",Valley of the Queens
838,The place of burial of Nils-Eric Fougstedt is,The place of burial of the composer of Katariina ja Munkkiniemen kreivi is,Nils-Eric Fougstedt,the composer of Katariina ja Munkkiniemen kreivi,"['Katariina ja Munkkiniemen kreivi', 'composer', 'Nils-Eric Fougstedt']","['Nils-Eric Fougstedt', 'place of burial', 'Hietaniemi cemetery']",Hietaniemi cemetery
839,"The date of death of Leopold IV, Prince of Lippe is","The date of death of the father of Armin, Prince of Lippe is","Leopold IV, Prince of Lippe","the father of Armin, Prince of Lippe","['Armin, Prince of Lippe', 'father', 'Leopold IV, Prince of Lippe']","['Leopold IV, Prince of Lippe', 'date of death', '30 December 1949']",30 December 1949
840,The place of death of Liu Xiu is,The place of death of the spouse of Yin Lihua is,Liu Xiu,the spouse of Yin Lihua,"['Yin Lihua', 'spouse', 'Liu Xiu']","['Liu Xiu', 'place of death', 'Luoyang']",Luoyang
841,The cause of death of Notorious B.I.G. is,The cause of death of the performer of Just Playing is,Notorious B.I.G.,the performer of Just Playing,"['Just Playing', 'performer', 'Notorious B.I.G.']","['Notorious B.I.G.', 'cause of death', 'drive-by shooting']",drive-by shooting
842,The place of birth of Parbati Ghose is,The place of birth of the director of Chha Mana Atha Guntha is,Parbati Ghose,the director of Chha Mana Atha Guntha,"['Chha Mana Atha Guntha', 'director', 'Parbati Ghose']","['Parbati Ghose', 'place of birth', 'Odisha']",Odisha
843,The cause of death of Franklin Pierce is,The cause of death of the spouse of Jane Means Pierce is,Franklin Pierce,the spouse of Jane Means Pierce,"['Jane Means Pierce', 'spouse', 'Franklin Pierce']","['Franklin Pierce', 'cause of death', 'cirrhosis']",cirrhosis
844,The place of death of Raffaello Matarazzo is,The place of death of the director of Nobody's Children is,Raffaello Matarazzo,the director of Nobody's Children,"[""Nobody's Children"", 'director', 'Raffaello Matarazzo']","['Raffaello Matarazzo', 'place of death', 'Rome']",Rome
845,The child of Roger Miller is,The child of the performer of Me and Bobby McGee is,Roger Miller,the performer of Me and Bobby McGee,"['Me and Bobby McGee', 'performer', 'Roger Miller']","['Roger Miller', 'child', 'Dean Miller']",Dean Miller
846,The child of Þórhildur Þorleifsdóttir is,The child of the director of Stella í orlofi is,Þórhildur Þorleifsdóttir,the director of Stella í orlofi,"['Stella í orlofi', 'director', 'Þórhildur Þorleifsdóttir']","['Þórhildur Þorleifsdóttir', 'child', 'Sólveig Arnarsdóttir']",Sólveig Arnarsdóttir
847,The place of birth of Helmut Käutner is,The place of birth of the director of Sky Without Stars is,Helmut Käutner,the director of Sky Without Stars,"['Sky Without Stars', 'director', 'Helmut Käutner']","['Helmut Käutner', 'place of birth', 'Düsseldorf']",Düsseldorf
848,The place of birth of John Francis Dillon is,The place of birth of the director of The Sea Tiger is,John Francis Dillon,the director of The Sea Tiger,"['The Sea Tiger', 'director', 'John Francis Dillon']","['John Francis Dillon', 'place of birth', 'New York']",New York
849,The place of burial of Curtis Bernhardt is,The place of burial of the director of The Last Company is,Curtis Bernhardt,the director of The Last Company,"['The Last Company', 'director', 'Curtis Bernhardt']","['Curtis Bernhardt', 'place of burial', 'Forest Lawn Memorial Park']",Forest Lawn Memorial Park
850,The place of birth of Nicki Minaj is,The place of birth of the performer of Marilyn Monroe is,Nicki Minaj,the performer of Marilyn Monroe,"['Marilyn Monroe', 'performer', 'Nicki Minaj']","['Nicki Minaj', 'place of birth', 'Port of Spain']",Port of Spain
851,"The country of citizenship of Bernard VII, Count of Armagnac is","The country of citizenship of the father of Bernard d'Armagnac, Count of Pardiac is","Bernard VII, Count of Armagnac","the father of Bernard d'Armagnac, Count of Pardiac","[""Bernard d'Armagnac, Count of Pardiac"", 'father', 'Bernard VII, Count of Armagnac']","['Bernard VII, Count of Armagnac', 'country of citizenship', 'France']",France
852,The place of birth of Grand Corps Malade is,The place of birth of the director of Patients is,Grand Corps Malade,the director of Patients,"['Patients', 'director', 'Grand Corps Malade']","['Grand Corps Malade', 'place of birth', 'Le Blanc-Mesnil']",Le Blanc-Mesnil
853,The place of birth of Fernando Cortés is,The place of birth of the director of Dawn of Life is,Fernando Cortés,the director of Dawn of Life,"['Dawn of Life', 'director', 'Fernando Cortés']","['Fernando Cortés', 'place of birth', 'San Juan, Puerto Rico']","San Juan, Puerto Rico"
854,"The country of citizenship of William Cowper, 1st Earl Cowper is","The country of citizenship of the father of William Clavering-Cowper, 2nd Earl Cowper is","William Cowper, 1st Earl Cowper","the father of William Clavering-Cowper, 2nd Earl Cowper","['William Clavering-Cowper, 2nd Earl Cowper', 'father', 'William Cowper, 1st Earl Cowper']","['William Cowper, 1st Earl Cowper', 'country of citizenship', 'Great Britain']",Great Britain
855,The place of death of Bernard Borderie is,The place of death of the director of Lemmy pour les dames is,Bernard Borderie,the director of Lemmy pour les dames,"['Lemmy pour les dames', 'director', 'Bernard Borderie']","['Bernard Borderie', 'place of death', 'Paris']",Paris
856,The spouse of Rajesh Khanna is,The spouse of the composer of Namma Ooru Nayagan is,Rajesh Khanna,the composer of Namma Ooru Nayagan,"['Namma Ooru Nayagan', 'composer', 'Rajesh Khanna']","['Rajesh Khanna', 'spouse', 'Dimple Kapadia']",Dimple Kapadia
857,"The date of birth of William St Lawrence, 12th Baron Howth is","The date of birth of the father of Thomas St Lawrence, 13th Baron Howth is","William St Lawrence, 12th Baron Howth","the father of Thomas St Lawrence, 13th Baron Howth","['Thomas St Lawrence, 13th Baron Howth', 'father', 'William St Lawrence, 12th Baron Howth']","['William St Lawrence, 12th Baron Howth', 'date of birth', '1628']",1628
858,The place of death of Avicii is,The place of death of the composer of We Write the Story is,Avicii,the composer of We Write the Story,"['We Write the Story', 'composer', 'Avicii']","['Avicii', 'place of death', 'Muscat']",Muscat
859,The place of birth of Gil Junger is,The place of birth of the director of 10 Things I Hate About Life is,Gil Junger,the director of 10 Things I Hate About Life,"['10 Things I Hate About Life', 'director', 'Gil Junger']","['Gil Junger', 'place of birth', 'New York']",New York
860,The country of citizenship of Jimmie Vaughan is,The country of citizenship of the performer of Six Strings Down is,Jimmie Vaughan,the performer of Six Strings Down,"['Six Strings Down', 'performer', 'Jimmie Vaughan']","['Jimmie Vaughan', 'country of citizenship', 'United States']",United States
861,O. P. Nayyar received the,The composer of C.I.D. received the,O. P. Nayyar,the composer of C.I.D.,"['C.I.D.', 'composer', 'O. P. Nayyar']","['O. P. Nayyar', 'award received', 'Filmfare Award']",Filmfare Award
862,The place of birth of André Cayatte is,The place of birth of the director of Verdict is,André Cayatte,the director of Verdict,"['Verdict', 'director', 'André Cayatte']","['André Cayatte', 'place of birth', 'Carcassonne']",Carcassonne
863,The country of citizenship of R. D. Blumenfeld is,The country of citizenship of the father of John Elliot is,R. D. Blumenfeld,the father of John Elliot,"['John Elliot', 'father', 'R. D. Blumenfeld']","['R. D. Blumenfeld', 'country of citizenship', 'American']",American
864,The place of birth of Wojciech Jerzy Has is,The place of birth of the director of Rozstanie is,Wojciech Jerzy Has,the director of Rozstanie,"['Rozstanie', 'director', 'Wojciech Jerzy Has']","['Wojciech Jerzy Has', 'place of birth', 'Kraków']",Kraków
865,"The place of birth of Augustus, Duke of Saxe-Weissenfels is","The place of birth of the father of Johann Adolf I, Duke of Saxe-Weissenfels is","Augustus, Duke of Saxe-Weissenfels","the father of Johann Adolf I, Duke of Saxe-Weissenfels","['Johann Adolf I, Duke of Saxe-Weissenfels', 'father', 'Augustus, Duke of Saxe-Weissenfels']","['Augustus, Duke of Saxe-Weissenfels', 'place of birth', 'Dresden']",Dresden
866,"The place of death of Kaikhosro, Prince of Mukhrani is",The place of death of the father of Domentius III of Georgia is,"Kaikhosro, Prince of Mukhrani",the father of Domentius III of Georgia,"['Domentius III of Georgia', 'father', 'Kaikhosro, Prince of Mukhrani']","['Kaikhosro, Prince of Mukhrani', 'place of death', 'Ottoman Empire']",Ottoman Empire
867,The place of birth of Kevin Smith is,"The place of birth of the director of The ""True North"" trilogy is",Kevin Smith,"the director of The ""True North"" trilogy","['The ""True North"" trilogy', 'director', 'Kevin Smith']","['Kevin Smith', 'place of birth', 'Red Bank']",Red Bank
868,Amal Neerad was educated at,The director of Anwar was educated at,Amal Neerad,the director of Anwar,"['Anwar', 'director', 'Amal Neerad']","['Amal Neerad', 'educated at', 'Satyajit Ray Film and Television Institute']",Satyajit Ray Film and Television Institute
869,The country of citizenship of Emperor Gong of Jin is,The country of citizenship of the spouse of Chu Lingyuan is,Emperor Gong of Jin,the spouse of Chu Lingyuan,"['Chu Lingyuan', 'spouse', 'Sima Dewen']","['Emperor Gong of Jin', 'country of citizenship', 'China']",China
870,John Bercow was educated at,The spouse of Sally Kate Bercow was educated at,John Bercow,the spouse of Sally Kate Bercow,"['Sally Kate Bercow', 'spouse', 'John Bercow']","['John Bercow', 'educated at', 'University of Essex']",University of Essex
871,The date of death of Marie Charlotte de La Trémoille is,"The date of death of the spouse of Bernhard II, Duke of Saxe-Jena is",Marie Charlotte de La Trémoille,"the spouse of Bernhard II, Duke of Saxe-Jena","['Bernhard II, Duke of Saxe-Jena', 'spouse', 'Marie Charlotte de la Trémoille']","['Marie Charlotte de La Trémoille', 'date of death', '24 August 1682']",24 August 1682
872,The place of birth of T. S. Nagabharana is,The place of birth of the director of Aahuti is,T. S. Nagabharana,the director of Aahuti,"['Aahuti', 'director', 'T. S. Nagabharana']","['T. S. Nagabharana', 'place of birth', 'Bangalore']",Bangalore
873,The place of birth of George II is,The place of birth of the father of Princess Amelia of Great Britain is,George II,the father of Princess Amelia of Great Britain,"['Princess Amelia of Great Britain', 'father', 'George II of Great Britain']","['George II', 'place of birth', 'Hanover']",Hanover
874,The place of death of George Gershwin is,The place of death of the composer of I've Got a Crush on You is,George Gershwin,the composer of I've Got a Crush on You,"[""I've Got a Crush on You"", 'composer', 'George Gershwin']","['George Gershwin', 'place of death', 'Hollywood']",Hollywood
875,The date of birth of Rosshan Andrrews is,The date of birth of the director of Udayananu Tharam is,Rosshan Andrrews,the director of Udayananu Tharam,"['Udayananu Tharam', 'director', 'Rosshan Andrrews']","['Rosshan Andrrews', 'date of birth', '1975']",1975
876,The spouse of Charles Winkler is,The spouse of the director of You Talkin' to Me? is,Charles Winkler,the director of You Talkin' to Me?,"[""You Talkin' to Me?"", 'director', 'Charles Winkler']","['Charles Winkler', 'spouse', 'Sandra Nelson']",Sandra Nelson
877,The country of citizenship of Charles Ives is,The country of citizenship of the composer of Songs My Mother Taught Me is,Charles Ives,the composer of Songs My Mother Taught Me,"['Songs My Mother Taught Me', 'composer', 'Charles Ives']","['Charles Ives', 'country of citizenship', 'American']",American
878,The date of death of John Stewart-Murray is,"The date of death of the father of James Thomas Stewart-Murray, 9th Duke of Atholl is",John Stewart-Murray,"the father of James Thomas Stewart-Murray, 9th Duke of Atholl","['James Thomas Stewart-Murray, 9th Duke of Atholl', 'father', 'John Stewart-Murray, 7th Duke of Atholl']","['John Stewart-Murray', 'date of death', '20 January 1917']",20 January 1917
879,The country of citizenship of Andy Warhol is,The country of citizenship of the director of Beauty No. 1 is,Andy Warhol,the director of Beauty No. 1,"['Beauty No. 1', 'director', 'Andy Warhol']","['Andy Warhol', 'country of citizenship', 'American']",American
880,The place of birth of Władysław Bakałowicz is,The place of birth of the spouse of Wiktoryna Józefa Bakałowiczowa is,Władysław Bakałowicz,the spouse of Wiktoryna Józefa Bakałowiczowa,"['Wiktoryna Józefa Bakałowiczowa', 'spouse', 'Władysław Bakałowicz']","['Władysław Bakałowicz', 'place of birth', 'Chrzanów']",Chrzanów
881,Paul Methuen was educated at,The father of Paul Cobb Methuen was educated at,Paul Methuen,the father of Paul Cobb Methuen,"['Paul Cobb Methuen', 'father', 'Paul Methuen']","['Paul Methuen', 'educated at', 'Oriel College']",Oriel College
882,The country of citizenship of Eric Mueller is,The country of citizenship of the director of World and Time Enough is,Eric Mueller,the director of World and Time Enough,"['World and Time Enough', 'director', 'Eric Mueller']","['Eric Mueller', 'country of citizenship', 'United States']",United States
883,The place of birth of Indra Kumar is,The place of birth of the director of Great Grand Masti is,Indra Kumar,the director of Great Grand Masti,"['Great Grand Masti', 'director', 'Indra Kumar']","['Indra Kumar', 'place of birth', 'Gujarati']",Gujarati
884,The country of citizenship of Sheikh Mohammed bin Rashid Al Maktoum is,The country of citizenship of the spouse of Haya bint Hussein is,Sheikh Mohammed bin Rashid Al Maktoum,the spouse of Haya bint Hussein,"['Haya bint Hussein', 'spouse', 'Sheikh Mohammed bin Rashid Al Maktoum']","['Sheikh Mohammed bin Rashid Al Maktoum', 'country of citizenship', 'United Arab Emirates']",United Arab Emirates
885,The employer of William S. Paley is,"The employer of the spouse of Barbara ""Babe"" Cushing Mortimer Paley is",William S. Paley,"the spouse of Barbara ""Babe"" Cushing Mortimer Paley","['Barbara ""Babe"" Cushing Mortimer Paley', 'spouse', 'William S. Paley']","['William S. Paley', 'employer', 'Columbia Broadcasting System']",Columbia Broadcasting System
886,The place of birth of Clara Law is,The place of birth of the director of Temptation of a Monk is,Clara Law,the director of Temptation of a Monk,"['Temptation of a Monk', 'director', 'Clara Law']","['Clara Law', 'place of birth', 'Macau']",Macau
887,The place of birth of Lothar Mendes is,The place of birth of the director of The Island of Tears is,Lothar Mendes,the director of The Island of Tears,"['The Island of Tears', 'director', 'Lothar Mendes']","['Lothar Mendes', 'place of birth', 'Berlin']",Berlin
888,The place of birth of Yasser Arafat is,The place of birth of the spouse of Suha Arafat is,Yasser Arafat,the spouse of Suha Arafat,"['Suha Arafat', 'spouse', 'Yasser Arafat']","['Yasser Arafat', 'place of birth', 'Cairo']",Cairo
889,The place of birth of Maria Carolina of Austria is,The place of birth of the mother of Maria Antonia of Naples and Sicily is,Maria Carolina of Austria,the mother of Maria Antonia of Naples and Sicily,"['Maria Antonia of Naples and Sicily', 'mother', 'Maria Carolina of Austria']","['Maria Carolina of Austria', 'place of birth', 'Vienna']",Vienna
890,The country of citizenship of David Hemmings is,The country of citizenship of the director of Just a Gigolo is,David Hemmings,the director of Just a Gigolo,"['Just a Gigolo', 'director', 'David Hemmings']","['David Hemmings', 'country of citizenship', 'English']",English
891,The country of citizenship of Bona Sforza is,The country of citizenship of the mother of Sigismund II Augustus is,Bona Sforza,the mother of Sigismund II Augustus,"['Sigismund II Augustus', 'mother', 'Bona Sforza']","['Bona Sforza', 'country of citizenship', 'Duchy of Milan']",Duchy of Milan
892,The spouse of Margarethe von Trotta is,The spouse of the director of Marianne and Juliane is,Margarethe von Trotta,the director of Marianne and Juliane,"['Marianne and Juliane', 'director', 'Margarethe von Trotta']","['Margarethe von Trotta', 'spouse', 'Volker Schlöndorff']",Volker Schlöndorff
893,"The place of death of Roger Mortimer, 1st Earl of March is",The place of death of the father of Edmund Mortimer is,"Roger Mortimer, 1st Earl of March",the father of Edmund Mortimer,"['Edmund Mortimer', 'father', 'Roger Mortimer, 1st Earl of March']","['Roger Mortimer, 1st Earl of March', 'place of death', 'London']",London
894,Joe Jackson received the,The performer of In 20-0-3 received the,Joe Jackson,the performer of In 20-0-3,"['In 20-0-3', 'performer', 'Joe Jackson']","['Joe Jackson', 'award received', 'Grammy']",Grammy
895,The country of citizenship of Lady Eleanor Brandon is,"The country of citizenship of the spouse of Henry Clifford, 2nd Earl of Cumberland is",Lady Eleanor Brandon,"the spouse of Henry Clifford, 2nd Earl of Cumberland","['Henry Clifford, 2nd Earl of Cumberland', 'spouse', 'Lady Eleanor Brandon']","['Lady Eleanor Brandon', 'country of citizenship', 'England']",England
896,The country of citizenship of Wu Jing is,The country of citizenship of the director of Legendary Assassin is,Wu Jing,the director of Legendary Assassin,"['Legendary Assassin', 'director', 'Wu Jing']","['Wu Jing', 'country of citizenship', 'Chinese']",Chinese
897,The place of birth of Larry Kent is,The place of birth of the director of She Who Must Burn is,Larry Kent,the director of She Who Must Burn,"['She Who Must Burn', 'director', 'Larry Kent']","['Larry Kent', 'place of birth', 'Johannesburg, South Africa']","Johannesburg, South Africa"
898,The place of birth of Paul Gross is,The place of birth of the composer of Men with Brooms is,Paul Gross,the composer of Men with Brooms,"['Men with Brooms', 'composer', 'Paul Gross']","['Paul Gross', 'place of birth', 'Calgary']",Calgary
899,The mother of Oskar Roehler is,The mother of the director of Atomised is,Oskar Roehler,the director of Atomised,"['Atomised', 'director', 'Oskar Roehler']","['Oskar Roehler', 'mother', 'Gisela Elsner']",Gisela Elsner
900,The place of death of Russell Hayden is,The place of death of the spouse of Lillian Porter is,Russell Hayden,the spouse of Lillian Porter,"['Lillian Porter', 'spouse', 'Russell Hayden']","['Russell Hayden', 'place of death', 'Palm Springs, California']","Palm Springs, California"
901,The place of death of John Michael Kohler is,"The place of death of the father of Walter Jodok Kohler, Sr. is",John Michael Kohler,"the father of Walter Jodok Kohler, Sr.","['Walter Jodok Kohler, Sr.', 'father', 'John Michael Kohler']","['John Michael Kohler', 'place of death', 'Sheboygan']",Sheboygan
902,Stephen Carpenter was educated at,The director of The Power was educated at,Stephen Carpenter,the director of The Power,"['The Power', 'director', 'Stephen Carpenter']","['Stephen Carpenter', 'educated at', 'University of California, Los Angeles']","University of California, Los Angeles"
903,The date of birth of Prince Christian of Schleswig-Holstein is,"The date of birth of the father of Albert, Duke of Schleswig-Holstein is",Prince Christian of Schleswig-Holstein,"the father of Albert, Duke of Schleswig-Holstein","['Albert, Duke of Schleswig-Holstein', 'father', 'Prince Christian of Schleswig-Holstein']","['Prince Christian of Schleswig-Holstein', 'date of birth', '22 January 1831']",22 January 1831
